# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
61 -52.611237 0 -13.658540 0 -50.801491 0 1.254810 0 -44.399975 0 40.244568 1 -42.444019 0 42.645702 1 -42.712593 0 36.900185 1 -47.024349 0 
62 -51.246593 0 33.215393 1 -48.886909 0 81.444466 1 -38.936996 0 -67.565941 0 -35.730606 0 -67.680038 0 -36.323025 0 -67.570221 0 -43.579662 0 
63 -50.150059 0 -67.738495 0 -46.636723 0 -67.858696 0 -29.365223 0 -69.794815 0 -22.961987 0 -69.889412 0 -24.180233 0 -69.802284 0 -37.973675 0 
64 -48.614090 0 -69.991226 0 -43.148998 0 -70.200142 0 -9.074418 0 -71.403992 0 6.590282 0 -71.473930 0 3.479432 0 -71.413116 0 -27.607126 0 
65 -46.351948 0 -71.597908 0 -37.300724 0 -71.851219 0 46.167919 1 -72.415428 0 100.141006 1 -72.462852 0 88.636787 1 -72.424919 0 -5.054307 0 
66 -42.814457 0 -72.591362 0 -26.350065 0 -72.852646 0 -67.987221 0 -72.965553 0 -68.136887 0 -72.996147 0 -68.111588 0 -72.974655 0 58.970070 1 
67 -36.832348 0 -73.119354 0 -2.095397 0 -73.368904 0 -70.422882 0 -73.209785 0 -70.681442 0 -73.229233 0 -70.637794 0 -73.218246 0 -68.132965 0 
68 -25.527843 0 -73.343704 0 68.816818 1 -73.575050 0 -72.119720 0 -73.270271 0 -72.429329 0 -73.282822 0 -72.377220 0 -73.278069 0 -70.674675 0 
69 -0.189587 0 -73.388412 0 -68.229767 0 -73.601685 0 -73.127739 0 -73.227249 0 -73.442619 0 -73.235664 0 -73.389793 0 -73.234451 0 -72.421257 0 
70 75.283028 1 -73.333405 0 -70.841446 0 -73.530891 0 -73.630280 0 -73.128769 0 -73.927765 0 -73.134720 0 -73.877983 0 -73.135483 0 -73.434441 0 
